L2_pred,L2
0,769
1,940
2,819
3,1025
4,948
5,1790
6,824
7,1066
8,939
9,778
10,1529
11,578
12,888
13,928
14,644
15,1103
16,922
17,785
18,1139
19,1440
20,935
21,703
22,816
23,699
24,883
25,932
26,2162
27,798
28,1039
29,3026
30,1096
31,967
32,1720
33,953
34,755
35,961
36,1024
37,623
38,969
39,1625
40,577
41,1484
42,885
43,710
44,724
45,817
46,2257
47,1479
48,760
49,980
50,1009
51,2308
52,865
53,1189
54,737
55,670
56,670
57,1065
58,664
59,550
60,1094
61,1029
62,1004
63,860
64,594
65,989
66,656
67,721
68,841
69,731
70,568
71,597
72,1000
73,2071
74,742
75,1162
76,623
77,683
78,677
79,933
80,868
81,1253
82,1133
83,1179
84,1145
85,773
86,805
87,626
88,887
89,1497
90,1222
91,767
92,677
93,620
94,1834
95,854
96,753
97,537
98,1029
99,1026
