L1_pred,L2_pred,L2
0,0,32
0,1,45
0,2,274
0,3,43
0,4,55
0,5,46
0,6,18
0,7,23
0,8,37
0,9,29
0,10,32
0,11,27
0,12,41
0,13,18
0,14,30
0,15,32
0,16,36
0,17,64
0,18,35
0,19,23
0,20,51
0,21,40
0,22,26
0,23,48
0,24,34
0,25,20
0,26,39
0,27,25
0,28,28
0,29,64
0,30,32
0,31,131
0,32,70
0,33,28
0,34,31
0,35,28
0,36,37
0,37,41
0,38,49
0,39,50
0,40,30
0,41,40
0,42,32
0,43,25
0,44,42
0,45,43
0,46,36
0,47,31
0,48,25
0,49,27
0,50,35
0,51,36
0,52,16
0,53,21
0,54,13
0,55,52
0,56,25
0,57,19
0,58,42
0,59,36
0,60,36
0,61,38
0,62,54
0,63,47
0,64,83
0,65,27
0,66,40
0,67,32
0,68,50
0,69,47
0,70,43
0,71,36
0,72,29
0,73,32
0,74,41
0,75,33
0,76,28
0,77,44
0,78,36
0,79,22
0,80,49
0,81,44
0,82,30
0,83,23
0,84,32
0,85,33
0,86,47
0,87,35
0,88,15
0,89,35
0,90,65
0,91,40
0,92,22
0,93,34
0,94,45
0,95,49
0,96,50
0,97,34
0,98,48
0,99,50
1,0,41
1,1,29
1,2,23
1,3,29
1,4,28
1,5,22
1,6,74
1,7,39
1,8,29
1,9,70
1,10,148
1,11,10
1,12,29
1,13,28
1,14,25
1,15,29
1,16,39
1,17,35
1,18,40
1,19,14
1,20,387
1,21,49
1,22,41
1,23,32
1,24,38
1,25,50
1,26,18
1,27,44
1,28,22
1,29,16
1,30,132
1,31,35
1,32,17
1,33,28
1,34,18
1,35,29
1,36,45
1,37,23
1,38,214
1,39,50
1,40,44
1,41,20
1,42,32
1,43,49
1,44,23
1,45,46
1,46,95
1,47,22
1,48,22
1,49,43
1,50,24
1,51,150
1,52,20
1,53,28
1,54,21
1,55,20
1,56,29
1,57,74
1,58,60
1,59,28
1,60,48
1,61,114
1,62,22
1,63,104
1,64,239
1,65,21
1,66,15
1,67,26
1,68,74
1,69,19
1,70,29
1,71,52
1,72,18
1,73,31
1,74,49
1,75,56
1,76,76
1,77,28
1,78,19
1,79,40
1,80,18
1,81,26
1,82,15
1,83,16
1,84,114
1,85,60
1,86,28
1,87,18
1,88,27
1,89,14
1,90,26
1,91,16
1,92,31
1,93,37
1,94,21
1,95,141
1,96,56
1,97,29
1,98,18
1,99,41
2,0,45
2,1,35
2,2,66
2,3,95
2,4,194
2,5,101
2,6,124
2,7,97
2,8,403
2,9,118
2,10,66
2,11,73
2,12,53
2,13,202
2,14,88
2,15,53
2,16,306
2,17,75
2,18,129
2,19,537
2,20,79
2,21,134
2,22,107
2,23,134
2,24,54
2,25,76
2,26,65
2,27,343
2,28,74
2,29,57
2,30,130
2,31,88
2,32,46
2,33,41
2,34,1025
2,35,131
2,36,55
2,37,45
2,38,82
2,39,300
2,40,136
2,41,99
2,42,115
2,43,36
2,44,105
2,45,75
2,46,109
2,47,87
2,48,82
2,49,112
2,50,114
2,51,192
2,52,203
2,53,87
2,54,70
2,55,60
2,56,70
2,57,200
2,58,131
2,59,35
2,60,90
2,61,110
2,62,71
2,63,60
2,64,99
2,65,119
2,66,82
2,67,62
2,68,105
2,69,331
2,70,87
2,71,440
2,72,67
2,73,59
2,74,564
2,75,131
2,76,88
2,77,96
2,78,76
2,79,245
2,80,286
2,81,77
2,82,50
2,83,23
2,84,186
2,85,59
2,86,60
2,87,63
2,88,29
2,89,185
2,90,89
2,91,441
2,92,51
2,93,49
2,94,167
2,95,118
2,96,65
2,97,119
2,98,186
2,99,106
3,0,67
3,1,28
3,2,64
3,3,81
3,4,51
3,5,170
3,6,198
3,7,68
3,8,40
3,9,79
3,10,40
3,11,36
3,12,30
3,13,70
3,14,48
3,15,44
3,16,59
3,17,128
3,18,225
3,19,33
3,20,50
3,21,73
3,22,94
3,23,68
3,24,124
3,25,134
3,26,29
3,27,114
3,28,330
3,29,53
3,30,31
3,31,45
3,32,101
3,33,46
3,34,62
3,35,99
3,36,11
3,37,57
3,38,74
3,39,43
3,40,359
3,41,150
3,42,34
3,43,175
3,44,443
3,45,91
3,46,50
3,47,61
3,48,46
3,49,54
3,50,56
3,51,65
3,52,37
3,53,54
3,54,35
3,55,33
3,56,193
3,57,37
3,58,291
3,59,109
3,60,59
3,61,32
3,62,78
3,63,50
3,64,44
3,65,48
3,66,54
3,67,36
3,68,82
3,69,46
3,70,239
3,71,40
3,72,118
3,73,60
3,74,128
3,75,34
3,76,164
3,77,541
3,78,30
3,79,46
3,80,38
3,81,76
3,82,113
3,83,48
3,84,37
3,85,72
3,86,42
3,87,32
3,88,35
3,89,24
3,90,93
3,91,58
3,92,56
3,93,65
3,94,90
3,95,138
3,96,53
3,97,789
3,98,198
3,99,37
4,0,131
4,1,115
4,2,93
4,3,895
4,4,165
4,5,325
4,6,99
4,7,72
4,8,168
4,9,76
4,10,85
4,11,205
4,12,199
4,13,320
4,14,160
4,15,520
4,16,271
4,17,74
4,18,96
4,19,386
4,20,158
4,21,104
4,22,74
4,23,98
4,24,194
4,25,123
4,26,123
4,27,162
4,28,115
4,29,58
4,30,74
4,31,97
4,32,100
4,33,284
4,34,1307
4,35,1037
4,36,69
4,37,161
4,38,164
4,39,170
4,40,203
4,41,124
4,42,71
4,43,117
4,44,243
4,45,358
4,46,170
4,47,144
4,48,88
4,49,196
4,50,666
4,51,256
4,52,120
4,53,481
4,54,99
4,55,273
4,56,118
4,57,368
4,58,281
4,59,297
4,60,287
4,61,977
4,62,104
4,63,134
4,64,90
4,65,116
4,66,125
4,67,259
4,68,123
4,69,86
4,70,111
4,71,579
4,72,66
4,73,118
4,74,177
4,75,79
4,76,118
4,77,584
4,78,161
4,79,253
4,80,105
4,81,375
4,82,109
4,83,710
4,84,115
4,85,77
4,86,99
4,87,908
4,88,46
4,89,219
4,90,399
4,91,128
4,92,96
4,93,665
4,94,65
4,95,402
4,96,114
4,97,235
4,98,37
4,99,412
5,0,18
5,1,16
5,2,19
5,3,25
5,4,20
5,5,19
5,6,105
5,7,26
5,8,19
5,9,12
5,10,5
5,11,18
5,12,36
5,13,11
5,14,23
5,15,11
5,16,16
5,17,23
5,18,31
5,19,19
5,20,62
5,21,21
5,22,11
5,23,7
5,24,7
5,25,47
5,26,18
5,27,25
5,28,40
5,29,16
5,30,30
5,31,26
5,32,34
5,33,19
5,34,12
5,35,39
5,36,11
5,37,15
5,38,22
5,39,12
5,40,8
5,41,81
5,42,13
5,43,18
5,44,6
5,45,29
5,46,12
5,47,15
5,48,45
5,49,4
5,50,19
5,51,14
5,52,33
5,53,26
5,54,13
5,55,12
5,56,247
5,57,26
5,58,10
5,59,24
5,60,27
5,61,23
5,62,15
5,63,182
5,64,23
5,65,17
5,66,118
5,67,13
5,68,76
5,69,21
5,70,24
5,71,8
5,72,21
5,73,16
5,74,9
5,75,20
5,76,13
5,77,32
5,78,76
5,79,16
5,80,29
5,81,12
5,82,32
5,83,13
5,84,13
5,85,12
5,86,11
5,87,13
5,88,33
5,89,15
5,90,13
5,91,15
5,92,19
5,93,12
5,94,21
5,95,24
5,96,28
5,97,15
5,98,41
5,99,26
6,0,481
6,1,68
6,2,321
6,3,81
6,4,31
6,5,325
6,6,30
6,7,70
6,8,97
6,9,66
6,10,43
6,11,89
6,12,92
6,13,56
6,14,157
6,15,403
6,16,91
6,17,81
6,18,61
6,19,41
6,20,88
6,21,51
6,22,59
6,23,21
6,24,99
6,25,63
6,26,676
6,27,68
6,28,94
6,29,100
6,30,46
6,31,332
6,32,103
6,33,38
6,34,57
6,35,61
6,36,75
6,37,49
6,38,49
6,39,126
6,40,114
6,41,45
6,42,53
6,43,70
6,44,105
6,45,42
6,46,87
6,47,50
6,48,57
6,49,74
6,50,45
6,51,229
6,52,78
6,53,45
6,54,81
6,55,52
6,56,39
6,57,42
6,58,57
6,59,43
6,60,51
6,61,63
6,62,232
6,63,61
6,64,51
6,65,62
6,66,74
6,67,51
6,68,80
6,69,50
6,70,67
6,71,54
6,72,53
6,73,140
6,74,59
6,75,41
6,76,77
6,77,62
6,78,49
6,79,48
6,80,174
6,81,50
6,82,75
6,83,58
6,84,85
6,85,132
6,86,240
6,87,62
6,88,345
6,89,68
6,90,72
6,91,53
6,92,59
6,93,49
6,94,96
6,95,66
6,96,46
6,97,66
6,98,23
6,99,37
7,0,79
7,1,14
7,2,23
7,3,10
7,4,20
7,5,96
7,6,17
7,7,11
7,8,22
7,9,9
7,10,10
7,11,11
7,12,10
7,13,41
7,14,12
7,15,17
7,16,6
7,17,11
7,18,11
7,19,12
7,20,10
7,21,46
7,22,8
7,23,19
7,24,11
7,25,12
7,26,14
7,27,19
7,28,15
7,29,89
7,30,13
7,31,25
7,32,19
7,33,13
